clip_id,match_id,moment_id,clip_type,start_time,end_time,duration_seconds,series,hook,caption,status
brazil_germany_2014_opening_crack_001,brazil_germany_2014,brazil_germany_2014_muller_opening_crack,short_form,00:10:35,00:11:20,45,The Collapse,This was the first crack in Brazil,Muller scores but the real story is how quickly the stadium changes.,candidate
brazil_germany_2014_record_silence_002,brazil_germany_2014,brazil_germany_2014_klose_record_silence,short_form,00:22:20,00:23:05,45,Football Heritage,By the 23rd minute history had become humiliation,Klose breaks the World Cup record while Brazil starts to disappear.,candidate
brazil_germany_2014_collapse_001,brazil_germany_2014,brazil_germany_2014_collapse_ignition,short_form,00:23:00,00:24:30,90,The Collapse,The moment Brazil stopped looking like Brazil,Five minutes changed a football nation.,candidate
brazil_germany_2014_kroos_double_003,brazil_germany_2014,brazil_germany_2014_kroos_double,short_form,00:23:55,00:24:40,45,The Collapse,Disbelief became acceptance in two minutes,Kroos scores twice and the semi-final stops feeling real.,candidate
brazil_germany_2014_fifth_silence_004,brazil_germany_2014,brazil_germany_2014_khedira_fifth,short_form,00:27:45,00:28:30,45,National Trauma,By the 29th minute Brazil had stopped breathing,Khedira makes it five and the stadium enters silence.,candidate
psg_arsenal_penalties_opening_001,psg_arsenal_full_penalties,psg_arsenal_penalties_opening_pressure,short_form,00:00:00,00:01:00,60,Pressure Matches,Every penalty shootout starts before the first kick,The walk-up silence is where the pressure begins.,candidate
psg_arsenal_penalties_early_nerves_002,psg_arsenal_full_penalties,psg_arsenal_penalties_early_nerves,short_form,00:01:00,00:02:15,75,Pressure Matches,The first kicks are never just kicks,Every player is walking into the whole stadium alone.,candidate
psg_arsenal_penalties_middle_swing_003,psg_arsenal_full_penalties,psg_arsenal_penalties_middle_swing,short_form,00:03:00,00:04:15,75,Pressure Matches,This is where the shootout starts choosing a side,The middle penalties turn nerves into momentum.,candidate
psg_arsenal_penalties_keeper_duel_004,psg_arsenal_full_penalties,psg_arsenal_penalties_keeper_duel,short_form,00:05:15,00:06:30,75,Pressure Matches,The goalkeeper has to win the silence first,Penalty shootouts are body language before contact.,candidate
psg_arsenal_penalties_late_nerves_005,psg_arsenal_full_penalties,psg_arsenal_penalties_late_nerves,short_form,00:08:15,00:09:30,75,Pressure Matches,By the late kicks every step feels heavier,This is the part of a shootout where legs start telling the truth.,candidate
psg_arsenal_penalties_final_release_006,psg_arsenal_full_penalties,psg_arsenal_penalties_final_release,short_form,00:10:30,00:12:20,110,Football Cinema,The final kicks decide who gets to breathe,Every penalty shootout ends with one team frozen and one team free.,candidate
