match_id,title,date,competition,stage,venue,teams,primary_emotion,secondary_emotions,mythology_score,status,source_url,local_path,notes
brazil_germany_2014,Brazil 1-7 Germany,2014-07-08,FIFA World Cup,Semi-final,Estadio Mineirao,Brazil; Germany,National Trauma,Collapse; Shock; Disbelief,99,seeded,,MATCHES/WORLD_CUP/2014_Brazil_-_Germany_-_1.mp4,The definitive modern collapse arc.
liverpool_milan_2005,Liverpool 3-3 Milan,2005-05-25,UEFA Champions League,Final,Ataturk Olympic Stadium,Liverpool; Milan,Miracle,Belief; Resurrection; Shock,98,seeded,,RAW/liverpool_milan_2005.mp4,The Istanbul miracle as football resurrection myth.
argentina_france_2022,Argentina 3-3 France,2022-12-18,FIFA World Cup,Final,Lusail Stadium,Argentina; France,Destiny,Legacy; Panic; Catharsis,100,seeded,,RAW/argentina_france_2022.mp4,Legacy chaos and coronation in one match.
barcelona_psg_2017,Barcelona 6-1 PSG,2017-03-08,UEFA Champions League,Round of 16,Camp Nou,Barcelona; PSG,Impossibility,Chaos; Belief; Humiliation,97,seeded,,RAW/barcelona_psg_2017.mp4,A comeback that feels like the stadium bending reality.
man_united_bayern_1999,Manchester United 2-1 Bayern Munich,1999-05-26,UEFA Champions League,Final,Camp Nou,Manchester United; Bayern Munich,Late Fate,Disbelief; Treble; Collapse,96,seeded,,RAW/man_united_bayern_1999.mp4,Football time turning against Bayern in stoppage time.
france_italy_2006,France 1-1 Italy,2006-07-09,FIFA World Cup,Final,Olympiastadion Berlin,France; Italy,Tragedy,Legacy; Madness; Farewell,94,seeded,,RAW/france_italy_2006.mp4,Zidane's final act turns a final into mythic tragedy.
portugal_netherlands_2006,Portugal 1-0 Netherlands,2006-06-25,FIFA World Cup,Round of 16,Frankenstadion,Portugal; Netherlands,Madness,Violence; Chaos; Grudge,91,seeded,,RAW/portugal_netherlands_2006.mp4,The Battle of Nuremberg as pure tournament disorder.
chelsea_bayern_2012,Chelsea 1-1 Bayern Munich,2012-05-19,UEFA Champions League,Final,Allianz Arena,Chelsea; Bayern Munich,Defiance,Survival; Fate; Redemption,93,seeded,,RAW/chelsea_bayern_2012.mp4,A survival story inside Bayern's own stadium.
italy_germany_2006,Italy 2-0 Germany,2006-07-04,FIFA World Cup,Semi-final,Westfalenstadion,Italy; Germany,Late Poetry,Tension; Elegance; Heartbreak,92,seeded,,RAW/italy_germany_2006.mp4,Extra-time pressure released by a perfect Italian ending.
netherlands_argentina_2022,Netherlands 2-2 Argentina,2022-12-09,FIFA World Cup,Quarter-final,Lusail Stadium,Netherlands; Argentina,Rage,Revenge; Chaos; Nerve,90,seeded,,RAW/netherlands_argentina_2022.mp4,Bad blood tactical shock and penalty pressure.
psg_arsenal_full_penalties,PSG vs Arsenal Full Penalties,,UEFA Champions League,Penalty shootout,,PSG; Arsenal,Penalty Pressure,Nerve; Dread; Release,78,archived,,FootballArchive/RAW/psg_arsenal_full_penalties_4k50.mp4,User-supplied full penalties source; exact match date and round still needs confirmation.
