match_no,date,time,timezone,home,away,venue,notes,stream_url,pipeline_status,match_id,source_video_path
1,2026-06-11,13:00,America/Mexico_City,Mexico,South Africa,"Estadio Azteca (Mexico City, Mexico)",Group A - Opening match,,recorded,mexico_south_africa_2026_06_11,/Users/powwow/Downloads/worldcup_clipping_pipeline_openai_api/FootballArchive/RAW/WORLD_CUP/mexico_south_africa_2026_06_11.ts
2,2026-06-11,20:00,America/Mexico_City,South Korea,Czechia,"Estadio Akron (Zapopan, Mexico)",Group A,,recorded,south_korea_czechia_2026_06_11,/Users/powwow/Downloads/worldcup_clipping_pipeline_openai_api/FootballArchive/RAW/WORLD_CUP/south_korea_czechia_2026_06_11.ts
3,2026-06-12,15:00,America/Toronto,Canada,Bosnia and Herzegovina,"BMO Field (Toronto, Canada)",Group B - Canada home,,planned,canada_bosnia_and_herzegovina_2026_06_12,
4,2026-06-12,18:00,America/Los_Angeles,USA,Paraguay,"SoFi Stadium (Inglewood, CA, USA)",Group D - USA home,,planned,usa_paraguay_2026_06_12,
5,2026-06-13,12:00,America/Los_Angeles,Qatar,Switzerland,"Levi's Stadium (Santa Clara, CA, USA)",Group B,,planned,qatar_switzerland_2026_06_13,
6,2026-06-13,18:00,America/New_York,Brazil,Morocco,"MetLife Stadium (East Rutherford, NJ, USA)",Group C,,planned,brazil_morocco_2026_06_13,
7,2026-06-13,21:00,America/New_York,Haiti,Scotland,"Gillette Stadium (Foxborough, MA, USA)",Group C,,planned,haiti_scotland_2026_06_13,
8,2026-06-13,21:00,America/Vancouver,Australia,Turkiye,"BC Place (Vancouver, Canada)",Group D,,planned,australia_turkiye_2026_06_13,
9,2026-06-14,12:00,America/Chicago,Germany,Curacao,"NRG Stadium (Houston, TX, USA)",Group E,,planned,germany_curacao_2026_06_14,
10,2026-06-14,15:00,America/Chicago,Netherlands,Japan,"AT&T Stadium (Arlington, TX, USA)",Group F,,planned,netherlands_japan_2026_06_14,
11,2026-06-14,19:00,America/New_York,Ivory Coast,Ecuador,"Lincoln Financial Field (Philadelphia, PA, USA)",Group E,,planned,ivory_coast_ecuador_2026_06_14,
12,2026-06-14,20:00,America/Mexico_City,Sweden,Tunisia,"Estadio BBVA (Monterrey, Mexico)",Group F,,planned,sweden_tunisia_2026_06_14,
13,2026-06-15,12:00,America/New_York,Spain,Cape Verde,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Group H,,planned,spain_cape_verde_2026_06_15,
14,2026-06-15,12:00,America/Los_Angeles,Belgium,Egypt,"Lumen Field (Seattle, WA, USA)",Group G,,planned,belgium_egypt_2026_06_15,
15,2026-06-15,18:00,America/New_York,Saudi Arabia,Uruguay,"Hard Rock Stadium (Miami Gardens, FL, USA)",Group H,,planned,saudi_arabia_uruguay_2026_06_15,
16,2026-06-15,18:00,America/Los_Angeles,Iran,New Zealand,"SoFi Stadium (Inglewood, CA, USA)",Group G,,planned,iran_new_zealand_2026_06_15,
17,2026-06-16,15:00,America/New_York,France,Senegal,"MetLife Stadium (East Rutherford, NJ, USA)",Group I,,planned,france_senegal_2026_06_16,
18,2026-06-16,18:00,America/New_York,Iraq,Norway,"Gillette Stadium (Foxborough, MA, USA)",Group I,,planned,iraq_norway_2026_06_16,
19,2026-06-16,20:00,America/Chicago,Argentina,Algeria,"Arrowhead Stadium (Kansas City, MO, USA)",Group J,,planned,argentina_algeria_2026_06_16,
20,2026-06-16,21:00,America/Los_Angeles,Austria,Jordan,"Levi's Stadium (Santa Clara, CA, USA)",Group J,,planned,austria_jordan_2026_06_16,
21,2026-06-17,12:00,America/Chicago,Portugal,DR Congo,"NRG Stadium (Houston, TX, USA)",Group K,,planned,portugal_dr_congo_2026_06_17,
22,2026-06-17,15:00,America/Chicago,England,Croatia,"AT&T Stadium (Arlington, TX, USA)",Group L,,planned,england_croatia_2026_06_17,
23,2026-06-17,19:00,America/Toronto,Ghana,Panama,"BMO Field (Toronto, Canada)",Group L,,planned,ghana_panama_2026_06_17,
24,2026-06-17,20:00,America/Mexico_City,Uzbekistan,Colombia,"Estadio Azteca (Mexico City, Mexico)",Group K,,planned,uzbekistan_colombia_2026_06_17,
25,2026-06-18,12:00,America/New_York,Czechia,South Africa,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Group A,,planned,czechia_south_africa_2026_06_18,
26,2026-06-18,12:00,America/Los_Angeles,Switzerland,Bosnia and Herzegovina,"SoFi Stadium (Inglewood, CA, USA)",Group B,,planned,switzerland_bosnia_and_herzegovina_2026_06_18,
27,2026-06-18,15:00,America/Vancouver,Canada,Qatar,"BC Place (Vancouver, Canada)",Group B - Canada home,,planned,canada_qatar_2026_06_18,
28,2026-06-18,19:00,America/Mexico_City,Mexico,South Korea,"Estadio Akron (Zapopan, Mexico)",Group A - Mexico home,,planned,mexico_south_korea_2026_06_18,
29,2026-06-19,12:00,America/Los_Angeles,USA,Australia,"Lumen Field (Seattle, WA, USA)",Group D - USA home,,planned,usa_australia_2026_06_19,
30,2026-06-19,18:00,America/New_York,Scotland,Morocco,"Gillette Stadium (Foxborough, MA, USA)",Group C,,planned,scotland_morocco_2026_06_19,
31,2026-06-19,20:30,America/New_York,Brazil,Haiti,"Lincoln Financial Field (Philadelphia, PA, USA)",Group C,,planned,brazil_haiti_2026_06_19,
